Date,Streamflow
1/31/1990,37.795
2/28/1990,84.695
3/31/1990,250.064
4/30/1990,459.404
5/31/1990,222.412
6/30/1990,280.173
7/31/1990,525.416
8/31/1990,639.409
9/30/1990,706.173
10/31/1990,501.539
11/30/1990,106.796
12/31/1990,23.96
1/31/1991,13.299
2/28/1991,16.852
3/31/1991,68.844
4/30/1991,43.604
5/31/1991,29.818
6/30/1991,65.979
7/31/1991,278.94
8/31/1991,596.809
9/30/1991,672.394
10/31/1991,226.888
11/30/1991,53.349
12/31/1991,33.617
1/31/1992,22.646
2/29/1992,69.383
3/31/1992,65.739
4/30/1992,97.299
5/31/1992,88.458
6/30/1992,191.334
7/31/1992,555.62
8/31/1992,1380.914
9/30/1992,1701.553
10/31/1992,772.986
11/30/1992,205.098
12/31/1992,64.286
1/31/1993,26.361
2/28/1993,80.644
3/31/1993,19.178
4/30/1993,147.55
5/31/1993,601.052
6/30/1993,851.576
7/31/1993,504.873
8/31/1993,809.171
9/30/1993,890.302
10/31/1993,690.695
11/30/1993,390.765
12/31/1993,99.591
1/31/1994,140.414
2/28/1994,104.782
3/31/1994,122.702
4/30/1994,121.79
5/31/1994,191.141
6/30/1994,265.306
7/31/1994,659.028
8/31/1994,1289.496
9/30/1994,1138.855
10/31/1994,485.82
11/30/1994,139.71
12/31/1994,49.214
1/31/1995,28.393
2/28/1995,32.157
3/31/1995,45.152
4/30/1995,244.563
5/31/1995,211.783
6/30/1995,186.978
7/31/1995,480.038
8/31/1995,924.557
9/30/1995,1014.773
10/31/1995,232.896
11/30/1995,78.009
12/31/1995,116.627
1/31/1996,74.06
2/29/1996,18.454
3/31/1996,297.399
4/30/1996,306.896
5/31/1996,843.796
6/30/1996,1281.964
7/31/1996,991.513
8/31/1996,1323.639
9/30/1996,914.276
10/31/1996,364.533
11/30/1996,94.768
12/31/1996,56.249
1/31/1997,63.826
2/28/1997,18.972
3/31/1997,24.125
4/30/1997,147.418
5/31/1997,75.665
6/30/1997,120.467
7/31/1997,289.417
8/31/1997,727.26
9/30/1997,497.588
10/31/1997,800.028
11/30/1997,706.066
12/31/1997,145.989
1/31/1998,95.933
2/28/1998,63.523
3/31/1998,127.479
4/30/1998,309.859
5/31/1998,281.513
6/30/1998,181.613
7/31/1998,477.335
8/31/1998,1504.817
9/30/1998,870.663
10/31/1998,976.567
11/30/1998,210.205
12/31/1998,77.775
1/31/1999,51.902
2/28/1999,20.62
3/31/1999,49.924
4/30/1999,16.028
5/31/1999,40.949
6/30/1999,71.833
7/31/1999,258.209
8/31/1999,351.418
9/30/1999,414.909
10/31/1999,1142.867
11/30/1999,270.353
12/31/1999,68.828
1/31/2000,15.558
2/29/2000,76.316
3/31/2000,49.769
4/30/2000,297.334
5/31/2000,191.741
6/30/2000,139.303
7/31/2000,268.329
8/31/2000,511.668
9/30/2000,1039.164
10/31/2000,667.226
11/30/2000,151.506
12/31/2000,118.003
1/31/2001,55.113
2/28/2001,36.727
3/31/2001,150.248
4/30/2001,60.332
5/31/2001,201.947
6/30/2001,377.76
7/31/2001,813.437
8/31/2001,1267.124
9/30/2001,929.009
10/31/2001,229.335
11/30/2001,74.553
12/31/2001,49.495
1/31/2002,59.085
2/28/2002,29.02
3/31/2002,72.542
4/30/2002,39.908
5/31/2002,39.989
6/30/2002,65.547
7/31/2002,120.144
8/31/2002,427.114
9/30/2002,470.934
10/31/2002,132.647
11/30/2002,41.004
12/31/2002,102.45025
1/31/2003,57.448
2/28/2003,34.436
3/31/2003,29.967
4/30/2003,202.329
5/31/2003,58.58
6/30/2003,83.678
7/31/2003,266.504
8/31/2003,384.478
9/30/2003,613.568
10/31/2003,671.271
11/30/2003,640.9421244
12/31/2003,665.6611244
1/31/2004,235.1097776
2/29/2004,213.956229
3/31/2004,240.1100772
4/30/2004,222.0011308
5/31/2004,233.4105237
6/30/2004,40.807
7/31/2004,279.382
8/31/2004,536.183
9/30/2004,512.972
10/31/2004,457.181
11/30/2004,61.205
12/31/2004,31.201
1/31/2005,34.018
2/28/2005,15.343
3/31/2005,64.666
4/30/2005,292.61
5/31/2005,593.397
6/30/2005,158.912
7/31/2005,461.502
8/31/2005,829.122
9/30/2005,1512.393
10/31/2005,928.801
11/30/2005,439.706
12/31/2005,312.833
1/31/2006,246.42
2/28/2006,220.245
3/31/2006,657.484
4/30/2006,1191.427
5/31/2006,867.877
6/30/2006,918.981
7/31/2006,1620.024
8/31/2006,2669.305
9/30/2006,2019.096
10/31/2006,999.013
11/30/2006,528.444
12/31/2006,402.19
1/31/2007,356.567
2/28/2007,555.129
3/31/2007,434.492
4/30/2007,708.177
5/31/2007,1116.133
6/30/2007,1347.864
7/31/2007,2149.714
8/31/2007,2597.813
9/30/2007,2505.599
10/31/2007,1839.907
11/30/2007,799.222
12/31/2007,667.977
1/31/2008,597.585
2/29/2008,491.622
3/31/2008,466.259
4/30/2008,579.01
5/31/2008,994.306
6/30/2008,942.955
7/31/2008,1695.955
8/31/2008,2374.272
9/30/2008,2374.445
10/31/2008,1365.252
11/30/2008,2085.561
12/31/2008,938.28
1/31/2009,731.048
2/28/2009,554.766
3/31/2009,571.9109056
4/30/2009,554.1873562
5/31/2009,801.3751551
6/30/2009,757.4922344
7/31/2009,1140.684
8/31/2009,2289.372
9/30/2009,1668.052
10/31/2009,1934.338
11/30/2009,989.482
12/31/2009,802.427
1/31/2010,694.233
2/28/2010,694.795
3/31/2010,1239.367
4/30/2010,1320.131
5/31/2010,2178.449
6/30/2010,1417.489
7/31/2010,2073.317
8/31/2010,2279.02
9/30/2010,2386.564
10/31/2010,1346.789
11/30/2010,769.548
12/31/2010,667.295
1/31/2011,598.312
2/28/2011,473.853
3/31/2011,660.576
4/30/2011,575.908
5/31/2011,1028.81675
6/30/2011,1346.914
7/31/2011,1666.357
8/31/2011,2579.336
9/30/2011,2408.391
10/31/2011,1397.784
11/30/2011,874.465
12/31/2011,679.839
1/31/2012,464.071
2/29/2012,280.337
3/31/2012,246.503
4/30/2012,795.711
5/31/2012,827.264
6/30/2012,975.796
7/31/2012,1912.785
8/31/2012,2252.001
9/30/2012,2760.475
10/31/2012,1636.296
11/30/2012,871.038
12/31/2012,656.165
1/31/2013,447.278
2/28/2013,284.741
3/31/2013,557.991
4/30/2013,703.531
5/31/2013,980.236
6/30/2013,1270.66
7/31/2013,2032.123
8/31/2013,2620.519
9/30/2013,2624.075
10/31/2013,2265.052
11/30/2013,1066.79
12/31/2013,629.869
1/31/2014,395.175
2/28/2014,566.709
3/31/2014,567.717
4/30/2014,707.89
5/31/2014,1429.229
6/30/2014,1145.138
7/31/2014,1477.442
8/31/2014,2389.918
9/30/2014,2789.24
10/31/2014,3061.507
11/30/2014,1308.495
12/31/2014,807.197
1/31/2015,154.9091965
2/28/2015,329.3048901
3/31/2015,608.327
4/30/2015,906.4275
5/31/2015,648.251
6/30/2015,924.412
7/31/2015,1312.0915
8/31/2015,1840.55525
9/30/2015,2124.071875
10/31/2015,2588.7875
11/30/2015,1035.584125
12/31/2015,70.46157894
1/31/2016,286.0652016
2/29/2016,342.4843415
3/31/2016,509.9429451
4/30/2016,644.4372225
5/31/2016,770.149125
6/30/2016,772.234125
7/31/2016,806.500375
8/31/2016,1305.469063
9/30/2016,1623.73825
10/31/2016,2012.039938
11/30/2016,171.5219997
12/31/2016,187.0106587
1/31/2017,289.0557888
2/28/2017,329.4019008
3/31/2017,467.3406433
4/30/2017,594.7372904
5/31/2017,596.4520838
6/30/2017,661.6067294
7/31/2017,787.2085625
8/31/2017,1053.580406
9/30/2017,1231.667203
10/31/2017,1492.976563
11/30/2017,139.184203
12/31/2017,143.247797
1/31/2018,312.9992655
2/28/2018,327.7905396
3/31/2018,439.498272
4/30/2018,512.3551518
5/31/2018,550.3009668
6/30/2018,563.0236828
7/31/2018,648.2914066
8/31/2018,858.5200939
9/30/2018,967.9344454
10/31/2018,1163.412523
11/30/2018,139.184203
12/31/2018,143.247797
1/31/2019,263.8260923
2/28/2019,296.5415477
3/31/2019,424.7714058
4/30/2019,471.8535491
5/31/2019,495.1887119
6/30/2019,503.6975789
7/31/2019,575.9243248
8/31/2019,718.7498266
9/30/2019,789.1476189
10/31/2019,932.4883712
11/30/2019,139.184203
12/31/2019,143.247797
1/31/2020,242.5051717
2/29/2020,274.8606541
3/31/2020,401.7834768
4/30/2020,429.5083073
5/31/2020,467.5744775
6/30/2020,460.7876331
7/31/2020,518.7051454
8/31/2020,620.1601061
9/30/2020,664.0931972
10/31/2020,771.7772042
11/30/2020,139.184203
12/31/2020,143.247797
