Country Name,Population,Literacy,Internet,Mobile,Elect. Production,Elect. Consumption
Algeria,38813720,73,4700000,37692000,46,34
Angola,19088106,70,606700,9800000,5,5
Benin,10160556,42,200100,8408000,0,1
Botswana,2155784,85,120000,3082000,0,3
Burkina Faso,18365124,29,178100,9980000,1,1
Burundi,10395931,67,157800,2247000,0,0
Cameroon,23130708,71,749600,13100000,6,5
Cape Verde,538535,85,150000,425300,0,0
Central African Republic,5277959,57,22600,1070000,0,0
Chad,11412107,35,168100,4200000,0,0
Comoros,766865,76,24300,250000,0,0
"Congo, Democratic Republic of the",77433744,67,290000,19487000,8,6
"Congo, Republic of the",4662446,84,245200,4283000,1,1
Cote d'Ivoire,22848944,57,967300,19827000,6,4
Djibouti,810179,68,25900,209000,0,0
Egypt,86895096,74,20136000,96800000,139,122
Equatorial Guinea,722254,94,14400,501000,0,0
Eritrea,6380803,69,200000,305300,0,0
Ethiopia,96633456,39,447300,20524000,5,4
Gabon,1672597,89,98800,2930000,2,1
"Gambia, The",1925527,51,130100,1526000,0,0
Ghana,25758108,72,1297000,25618000,8,5
Guinea,11474383,41,95000,4781000,1,1
Guinea-Bissau,1693398,55,37100,1100000,0,0
Kenya,45010056,87,3996000,30732000,7,6
Lesotho,1942008,90,76800,1312000,0,0
Liberia,4092310,61,20000,2394000,0,0
Libya,6244174,90,353900,9590000,30,25
Madagascar,23201926,65,319900,8564000,1,1
Malawi,17377468,75,716400,4420000,2,2
Mali,16455903,33,249800,14613000,1,0
Mauritania,3516806,59,75000,4024000,1,1
Mauritius,1331155,89,290000,1485000,3,2
Morocco,32987206,67,13213000,39016000,21,24
Mozambique,24692144,56,613600,8108000,15,10
Namibia,2198406,89,127500,2435000,1,4
Niger,17466172,29,115900,5400000,0,1
Nigeria,177155760,61,43989000,112780000,25,20
Rwanda,12337138,71,450000,5690000,0,0
Sao Tome and Principe,190428,70,26700,122000,0,0
Senegal,13635927,50,1818000,11470000,3,2
Seychelles,91650,92,32000,138300,0,0
Sierra Leone,5743725,43,14900,2210000,0,0
Somalia,10428043,38,106000,658000,0,0
South Africa,48375644,93,4420000,68400000,258,234
Sudan,35482232,72,4200000,27659000,7,6
Swaziland,1419623,88,90100,805000,0,1
Tanzania,49639136,68,678000,27220000,4,3
Togo,7351374,60,356300,3518000,0,1
Tunisia,10937521,79,3500000,12840000,15,13
Uganda,35918916,73,3200000,16355000,2,2
Zambia,14638505,61,816200,10525000,11,8
Zimbabwe,13771721,84,1423000,12614000,8,13